Technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Bioethylene production,0.015187472,0.020033946,0.02638554,0.034679592,0.045459072,0.059383028,0.077226796,0.099863118,0.12821259,0.163151302,0.205368147,0.255177956,0.31232037,0.375802515,0.443859608,0.514090796,0.583769903,0.650254766,0.711370558,0.765655555,0.812422883,0.851665188,0.883871267,0.909825213,0.930435166,0.946611014,0.959190482,0.968903354,0.976361484,0.98206399,0.986409983
Ammonia via hydrogen,0.015187472,0.020033946,0.02638554,0.034679592,0.045459072,0.059383028,0.077226796,0.099863118,0.12821259,0.163151302,0.205368147,0.255177956,0.31232037,0.375802515,0.443859608,0.514090796,0.583769903,0.650254766,0.711370558,0.765655555,0.812422883,0.851665188,0.883871267,0.909825213,0.930435166,0.946611014,0.959190482,0.968903354,0.976361484,0.98206399,0.986409983
Ammonia via biomass gasification,0.015187472,0.020033946,0.02638554,0.034679592,0.045459072,0.059383028,0.077226796,0.099863118,0.12821259,0.163151302,0.205368147,0.255177956,0.31232037,0.375802515,0.443859608,0.514090796,0.583769903,0.650254766,0.711370558,0.765655555,0.812422883,0.851665188,0.883871267,0.909825213,0.930435166,0.946611014,0.959190482,0.968903354,0.976361484,0.98206399,0.986409983
