FONTES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gas natural,830.552801,901.4304417,960.08,1006.957049,976.7483377,1140.822804,1301.486594,1314.053049,1353.526425,1338.741987,1324.004963,1324.7764,1326.244352,1242.450694,1249.095031,1117.462119
Carvao mineral,69.68037021,41.77710741,33.386011,44.39388116,31.28295261,29.750134,51.69527614,34.87559222,38.73682303,50.42173295,62.24956318,36.6531478,40.77455032,54.65571936,43.58276686,44.78680766
Lenha,1710.283175,1761.73,1885.0511,2121.516,2081.215832,2275.393269,2386.887539,2458.491859,2630.7127,2657.019827,2311.5987,2080.503,2080.503,2055.954292,2080.625744,1854.47717
Oleo diesel,8.860280976,8.465887688,7.203537213,7.599919671,7.516086837,5.641862809,29.49512937,26.25775487,23.20936479,24.630716,22.24359509,18.00512985,15.74236521,14.5757542,16.56090911,15.65591171
Biodiesel,0.000148181,0.013180367,0.064871611,0.188361817,0.248451303,0.274713037,1.449859884,1.2907238,1.140877415,1.38273702,1.563685474,1.265728848,1.239167169,1.462896508,1.783489497,1.848099996
Oleo combustivel,267.5446615,284.823,312.634,322.0322,322.0322,295.372,124.8043602,112.6878915,124.5205456,101.8029341,58.65616398,48.17768714,57.78296732,53.94100297,41.4603246,41.63899669
GLP,147.8861889,150.8559,152.75,165.581,176.3591733,164.97,168.6306073,160.516369,163.3866345,171.3425429,172.7886659,162.9452401,156.6549995,154.9070204,158.4951079,165.9524847
Outras fontes secundarias,106.990267,107.951,205.235,225.969465,231.0595505,253.4045809,330.4802002,336.42552,353.766,357.30366,321.705,277.609,279.552263,276.2537112,279.5687558,188.2817073
Eletricidade,269.714751,275.9912,284.362612,298.345567,301.3290227,319.3614169,341.7167161,358.802535,380.31952,376.5163248,338.8572,321.898,321.898,318.0997935,321.916991,286.9270038
