Metais não ferrosos (Mt),4.95,5.407,5.385,5.531,4.319,5.804,6.045,5.632,5.659,5.435,4.979,4.509,4.466,4.351,4.369493288
Alumínio (Mt),1497.6,1603.6,1654.8,1661.1,1535.9,1536.2,1440.4,1436.4,1304.3,962,772,793,801.7,659,661.8009829
