FONTES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gas Natural,327,334,372,322,300,329,327,317,312,248,215,197,223,231,217,175
Carvao mineral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lenha,93,94,96,95,88,92,76,73,71,69,62,59,61,60,60,53
Oleo diesel,2,2,3,3,3,3,6,7,5,4,2,2,1,1,2,1
Oleo combustivel,112,105,108,106,106,64,55,45,46,34,19,15,15,12,9,5
GLP,9,9,11,10,10,10,29,28,31,40,37,31,28,25,27,31
Eletricidade,660,669,685,672,665,715,707,645,635,622,560,537,560,550,547,485
Carvao vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
