Name,Step,Electricity saving  (%),Fuel saving (%),CAPEX (R$/t),OPEX (R$/t),Penetration_limit
Recuperação de calor,Aquecimento direto,0,0.0331,0.01978,0.000989,1
Melhoria na combustão,Aquecimento direto,0,0.029,0.0166,0.00083,1
Controle de processo,Aquecimento direto,0,0.028,0.0059,0.000295,1
Recuperação de condensado,Aquecimento direto,0,0.13,0.063,0.00315,1
Eletrificacao, Forca motriz, 0,0,0,0,1
