FONTES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gas natural,511,559,587,581,552,662,687,720,688,894,834,833,850,883,873,809
Carvao mineral,62,39,46,37,48,71,90,68,69,66,65,51,51,49,30,22
Lenha,1813,1831,1885,1999,2039,2267,2312,2319,2273,2250,2171,2150,2218,2239,2276,2359
Bagaco de cana,13050,15224,16116,15353,16148,17248,16861,17844,17213,16120,15485,17524,17169,13199,13144,18044
Oleo diesel,61,65,76,80,79,141,181,201,247,235,222,226,216,212,214,210
Biodiesel,0,0,1,2,3,7,9,10,12,13,16,16,17,21,23,25
Oleo combustivel,529,412,451,467,467,325,318,271,198,177,119,87,86,74,74,61
Outras fontes secundarias,125,144,174,190,187,202,225,266,282,315,320,331,327,330,336,344
Eletricidade,1777,1848,1926,1985,2025,2319,2342,2423,2356,2325,2243,2315,2364,2228,2254,2515
