Sector,Energy carrier,Alpha,Gamma,Delta,Epsilon
"Food, drink and tobacco",Derived gases,1.59,5.94,0.10,0.77
"Food, drink and tobacco",Stack gas,1.00,0.00,0.10,0.77
"Food, drink and tobacco",Waste non-RES,1.00,0.00,0.10,0.77
"Food, drink and tobacco",Biomass solid,5.00,4.00,0.10,0.77
"Food, drink and tobacco",Biogas,1.00,2.49,0.10,0.77
"Food, drink and tobacco",Waste RES,1.00,0.00,0.10,0.77
"Food, drink and tobacco",Geothermal,1.00,0.00,0.10,0.77
"Food, drink and tobacco",Biofuels liquid,1.00,0.00,0.10,0.77
Engineering and other metal,Electricity,1.00,8.00,0.10,1.05
Engineering and other metal,Light fuel oil,1.00,8.42,0.10,1.05
Engineering and other metal,Hard coal,1.00,5.40,0.10,1.05
Engineering and other metal,Coke,6.46,2.96,0.10,1.05
Engineering and other metal,Lignite,8.33,0.00,0.10,1.05
Engineering and other metal,Natural Gas,1.88,10.00,0.10,1.05
Engineering and other metal,Petroleum coke,1.00,0.00,0.10,1.05
Engineering and other metal,Heavy fuel oil,4.19,6.39,0.10,1.05
Engineering and other metal,Derived gases,1.00,7.51,0.10,1.05
Engineering and other metal,Stack gas,1.00,0.00,0.10,1.05
Engineering and other metal,Waste non-RES,1.00,0.00,0.10,1.05
Engineering and other metal,Biomass solid,7.00,2.00,0.10,1.05
Engineering and other metal,Biogas,1.00,0.00,0.10,1.05
Engineering and other metal,Waste RES,1.00,0.00,0.10,1.05
Engineering and other metal,Geothermal,1.00,0.00,0.10,1.05
Engineering and other metal,Biofuels liquid,1.00,0.00,0.10,1.05
Other non-classified,Electricity,1.00,6.00,0.10,0.72
Other non-classified,Light fuel oil,1.00,7.78,0.10,0.72
Other non-classified,Hard coal,1.00,7.43,0.10,0.72
Other non-classified,Coke,1.00,2.44,0.10,0.72
Other non-classified,Lignite,1.00,5.76,0.10,0.72
Other non-classified,Natural Gas,10.00,9.65,0.10,0.72
Other non-classified,Petroleum coke,1.00,2.20,0.10,0.72
Other non-classified,Heavy fuel oil,5.01,5.49,0.10,0.72
Other non-classified,Derived gases,3.45,5.84,0.10,0.72
Other non-classified,Stack gas,1.00,0.00,0.10,0.72
Other non-classified,Waste non-RES,1.85,0.86,0.10,0.72
Other non-classified,Biomass solid,1.00,6.58,0.10,0.72
Other non-classified,Biogas,1.00,0.00,0.10,0.72
Other non-classified,Waste RES,1.00,0.00,0.10,0.72
Other non-classified,Geothermal,1.00,0.00,0.10,0.72
Other non-classified,Biofuels liquid,1.00,0.00,0.10,0.72
