FONTES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gas natural,2.04336,1.76,28.87192,1.7072,1.76,1.9594168,2.64,2.64,22,20.24,5.761690301,0,0,2.5480532,2.816554879,2.497826119
Carvao mineral,0,0,0,0,0,0,0,0,0,0,0.0513267,0,0,0,0,0
Coque de carvao mineral,92.16184266,93.15,104.19,118.68,91.67142857,107.4297471,96.24362109,93.353964,83.835,78.2874,70.173,68.9724,75.75385899,77.12395438,76.28943685,82.13677557
Eletricidade,665.2149537,662.4666,746.0237012,751.421732,580.4171186,727.6373335,677.9469276,665.7435612,625.78244,582.01446,523.8432,518.58774,519.3345063,528.7272663,523.0061881,563.0929217
Carvao vegetal,662.0417504,668.0217096,714.7832293,729.564868,563.534325,660.4058754,591.6410913,579.674802,544.03558,506.22318,455.499,442.65636,486.1789278,494.972031,489.6162005,527.1436994
Outras fontes secundarias,191.9091634,187.346,209.257,210.0143,209.5223,197.7729237,186.9587592,223.4318084,229.2311375,244.6035556,150.8896454,187.9104256,166.6866441,215.1929463,198.2252093,140.0431177
