FONTES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gas natural,490,528,632,675,405,727,842,857,942,896,593,564,586,416,406,312
Lenha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleo combustivel,1147,1091,1124,1062,987,1098,1177,1163,1148,1200,1238,1244,1202,584,700,812
Diesel,18,85,91,85,86,79,47,44,53,50,45,42,42,41,48,47
Carvao mineral,228,233,243,178,165,768,1022,1030,1023,1062,935,935,952,876,906,972
Eletricidade,2999,3174,3273,3366,3114,3198,3308,3255,3105,2800,2316,2332,2347,2139,2130,2209
Carvao vegetal,8,8,9,9,8,9,9,10,11,14,11,10,11,11,11,10
Outras fontes secundarias,513,548,583,590,588,612,734,699,654,595,510,523,520,449,447,471
