FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0.350,0.95,0.55,0.77,,,
Carvao mineral,,0.0,,,,,
Carvao metalurgico,,,,,,,
Lenha,,0.9,0.35,,,,
Oleo diesel,0.45,0.9,0.55,0.77,,,
Oleo combustivel,,0.9,0.55,0.77,,,
GLP,0.29,0.95,0.55,0.77,0.002,,
Coque de carvao mineral,,,,,,,
Eletricidade,0.99,0.99,0.55,0.8,0.28,,1
Carvao vegetal,0.45,0.9,0.35,,,,
Outras fontes secundarias,,,,,,,



